;Unnamed: 0;country;description;designation;points;price;province;region_1;region_2;variety;winery;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;Id
215;215;France;Beautifully balanced, this conveys both rich fruit and a tense, intense minerality. Combining the two strands impeccably, it brings out tangy apple and pink grapefruit flavors and a steely, tight acidity. It's a structured wine that needs to age. Drink from 2018.;Clos Häuserer Wintzenheim;93;65.0;Alsace;Alsace;;Riesling;Domaine Zind-Humbrecht;7.2;0.65;0.02;2.3;0.094;5.0;31.0;0.9993;3.67;0.8;9.7;5;298
216;216;Morocco;Tones of black cherry, toffee, tobacco, tar and violet show boldly on the nose and palate of this Moroccan red. Powerful tannins provide a suitable backdrop for fruit and spice flavors alongside an ever-present sense of brightness that lasts into the finish.;Domaine Excelcio;93;35.0;Guerrouane;;;Syrah-Grenache;Bernard Magrez;7.5;0.53;0.06;2.6;0.086;20.0;44.0;0.9965;3.38;0.59;10.7;6;300
217;217;Italy;Intense aromas of dried rose, leather, truffle and crushed berry lead the nose. The ripe, forward palate offers crushed black cherry, wild raspberry, cinnamon white pepper and sage alongside chewy tannins. Drink 2015–2022.;;93;80.0;Piedmont;Barolo;;Nebbiolo;Borgogno;11.1;0.18;0.48;1.5;0.068;7.0;15.0;0.9973;3.22;0.64;10.1;6;301
218;218;France;Paradis is a parcel within the Pfingstberg Grand Cru, giving particularly fine and rich Riesling. This ripe and full-bodied wine manages to preserve all the elegance and style of the grape while having full tropical fruits, juicy acidity and a warm, rounded aftertaste. It will certainly age, so drink from 2017.;Pfingstberg Paradis Grand Cru;93;42.0;Alsace;Alsace;;Riesling;Domaine François Schmitt;8.3;0.705;0.12;2.6;0.092;12.0;28.0;0.9994;3.51;0.72;10.0;5;302
219;219;France;This late release, aging for five years, has produced a majestic wine. Its breadth of flavor, with ripe fruits as well as intense structure, are gently transitioning from the first flush of youth to a more mature character. Intensely textured, tight, ready to spring, it shows the beauty of maturing Riesling. Drink now, although it will age many more years.;Altenberg de Bergheim Grand Cru Vieilles Vignes;93;61.0;Alsace;Alsace;;Riesling;Gustave Lorentz;8.4;0.65;0.6;2.1;0.1119999999999999;12.0;90.0;0.9973;3.2;0.52;9.2;5;304
220;220;US;Produced for Force Majeure by Syncline's James Mantone, this riveting wine is a blend of 47% Mourvèdre, 42% Syrah and 11% Grenache. Lush and redolent with wild berry and wet rock aromatics, it carries a thread of sweet grain along with bright, detailed berry fruit and balancing acidity. Delicious already, it can be enjoyed now through 2020.;Collaboration Series VI Ciel du Cheval Vineyard;93;58.0;Washington;Red Mountain;Columbia Valley;G-S-M;Force Majeure;7.6;0.62;0.32;2.2;0.0819999999999999;7.0;54.0;0.9966;3.36;0.52;9.4;5;306
221;221;US;More people would crave Mourvèdre if it were done in this style, with light rather than heavy leather scents alongside purple fruits. Once sipped, it hits the tastebuds with blueberry soda, tobacco, licorice, black pepper and wild game, all restrained and juicy rather than brooding and thick.;Hastings Ranch Vineyard;93;38.0;California;Paso Robles;Central Coast;Mourvèdre;Anglim;10.3;0.41;0.42;2.4;0.213;6.0;14.0;0.9994;3.19;0.62;9.5;6;307
222;222;France;Rounded, rich and full in the mouth, this offers swathes of flowery, aromatic fruit that is still young, still in its primary stage. With just a hint of steely texture, the wine does have structure and aging potential. For now, it is generous and delicious.;Heissenberg;93;48.0;Alsace;Alsace;;Riesling;Domaine Ostertag;10.3;0.43;0.44;2.4;0.214;5.0;12.0;0.9994;3.19;0.63;9.5;6;308
223;223;US;The winery's proprietary block of Zin grapes (planted in 1999) from the coveted Stagecoach Vineyards contributes to an intense wine. Juicy and oaky, it's dense in cherry and plum, a note of lavender and sage complementing the whole. A thick liqueur sense characterizes the texture, but the palate stays alive through the site's rocky minerality. This one'll age.;Stagecoach Vineyards The Biale Block;93;50.0;California;Napa Valley;Napa;Zinfandel;Robert Biale;7.9;0.53;0.24;2.0;0.072;15.0;105.0;0.996;3.27;0.54;9.4;6;311
224;224;Italy;Ripe and delicious, this starts off with aromas of fresh violet, rose, perfumed berry, exotic spice and tilled earth. It's still young but the palate already delivers a great depth of flavors including juicy black cherry, crushed raspberry, clove and black pepper alongside chewy tannins. Drink 2016 to 2021.;Pajorè;93;58.0;Piedmont;Barbaresco;;Nebbiolo;Sottimano;9.0;0.46;0.31;2.8;0.093;19.0;98.0;0.99815;3.32;0.63;9.5;6;312
225;225;France;From one of the many recent exceptional years in Sauternes, this ripe, unctuous wine has balanced the rich honeyed fruit and the drier edge of botrytis. It's full in the mouth, with Seville orange and a light touch of ginger. Drink from 2019.;;93;120.0;Bordeaux;Sauternes;;Bordeaux-style White Blend;Château Raymond-Lafon;8.6;0.47;0.3;3.0;0.076;30.0;135.0;0.9976;3.3;0.53;9.4;5;313
226;226;US;A case study in cool-climate, estate-grown Syrah, the white pepper on the nose and palate is playful and exuberant, the acidity buoyant and lingering. The fruit takes on hushed tones of wild berry and bramble, with a soft texture inviting one in for more.;Estate;93;50.0;California;Fort Ross-Seaview;Sonoma;Syrah;Red Car;7.4;0.36;0.29;2.6;0.087;26.0;72.0;0.99645;3.39;0.68;11.0;5;314
227;227;US;Chris Gorman is the winemaker for this pure, old vine Cabernet Sauvignon. Despite the high alcohol and the use of 100% new French oak, most of the old vine nuances are still there—a wild mix of heather and herb with berry and grain scents that weave together in the mouth. Brambly and tart, with strawberry and cherry fruit, it's a compelling wine that keeps you on your toes.;Collaboration Series V Ciel du Cheval Vineyard;93;80.0;Washington;Red Mountain;Columbia Valley;Cabernet Sauvignon;Force Majeure;9.8;0.66;0.39;3.2;0.083;21.0;59.0;0.9989;3.37;0.71;11.5;7;318
228;228;US;Addictive aromas of hot blackberry pie laced with cinnamon, allspice, cola nut and a stewed cherry sauce reveal the promise of this popular Los Alamos Valley vineyard. Dark plum fruit, but with the acidity of the plum skin, meets with candied flavors of blackberry syrup and the freshness of soda water. A hedonistic Syrah.;White Hawk Vineyard;93;40.0;California;Santa Barbara County;Central Coast;Syrah;Mulvane Wine Co.;9.6;0.77;0.12;2.9;0.0819999999999999;30.0;74.0;0.99865;3.3;0.64;10.4;6;319
229;229;Portugal;Almost ready to drink, this wood-aged wine is packed with herbs, dark berry fruits and the first signs of secondary spice and leather flavors. The tannins are still powerful and need to soften further, so drink this complex, concentrated wine from 2016.;Quinta dos Quatro Ventos Reserva;93;41.0;Douro;;;Portuguese Red;Caves Aliança;9.3;0.61;0.26;3.4;0.09;25.0;87.0;0.99975;3.24;0.62;9.7;5;321
230;230;US;Somewhat light in color, this is an aromatically appealing wine that shows a complex assortment of coffee, vanilla, pencil lead, cherry, blueberry and high-toned herbal notes. It's exquisitely polished in its styling, with plush tannins and a long, lingering finish. A pretty expression of the variety that shows a great degree of elegance and deftness, it drinks well out of the gate but continues to improve with additional time to breathe.;Double Canyon Vineyard;93;48.0;Washington;Horse Heaven Hills;Columbia Valley;Cabernet Sauvignon;Double Canyon;10.0;0.49;0.2;11.0;0.071;13.0;50.0;10.015;3.16;0.69;9.2;6;324
231;231;US;From a seven-acre section of the vineyard, this offers plenty of saddle leather and cedar amidst spicy cardamom layers, a soft, juicy core and tingling acidity. The structure and weight suggest the ability to cellar comfortably through 2020.;Red Rock Terrace;93;200.0;California;Napa Valley;Napa;Cabernet Sauvignon;Diamond Creek;10.0;0.49;0.2;11.0;0.071;13.0;50.0;10.015;3.16;0.69;9.2;6;325
232;232;US;Pure Petit Verdot from Red Mountain's quintessential Bordeaux varietal vineyard—does it get any better? Big, deep and tannic, with lovely purity, this features ultraripe fig and plum fruit with a pleasing salinity. The finish is persistent and shows a streak of iron. Note the alcohol is pushing 16% however it is beautifully integrated.;Ciel du Cheval Vineyard;93;39.0;Washington;Red Mountain;Columbia Valley;Petit Verdot;Côtes de Ciel;11.6;0.53;0.66;3.65;0.121;6.0;14.0;0.9978;3.05;0.74;11.5;7;326
233;233;US;Principally Klipsun vineyard fruit, this is a mass of black cherry and cassis, wreathed in smoke from aging in 80% new French barrels. Great balance and length carry it through into drying tannins. A perfect steakhouse Cabernet.;Kingpin;93;62.0;Washington;Red Mountain;Columbia Valley;Cabernet Sauvignon;Sparkman;10.3;0.44;0.5;4.5;0.107;5.0;13.0;0.998;3.28;0.83;11.5;5;327
234;234;Italy;Structured and energetic, this has a balsamic nose that offers aromas of menthol, mint, fennel, ripe berry, leather and a whiff of violet. The palate delivers crushed red cherry, black raspberry, baking spices and licorice alongside assertive tannins and fresh acidity. Drink 2017–2025.;;93;43.0;Piedmont;Barbaresco;;Nebbiolo;Punset;13.4;0.27;0.62;2.6;0.0819999999999999;6.0;21.0;10.002;3.16;0.67;9.7;6;328
235;235;France;This ripe, full wine has both great minerality and rich white fruits that are aromatic as well as very fresh. The fruits are laced with citrus to give a complex wine that deserves aging. Drink from 2017.;Domaine Saint-Rémy Schlosberg Grand Cru;92;35.0;Alsace;Alsace;;Riesling;Domaine Ehrhart;8.4;0.56;0.08;2.1;0.105;16.0;44.0;0.9958;3.13;0.52;11.0;5;333
236;236;France;Floral aromas lead into a rich, not quite dry wine that is beautifully ripe and perfumed. It is rounded and opulent while preserving the steely, mineral texture. Still young, it demands aging. Drink from 2017.;Pfersigberg Grand Cru;92;48.0;Alsace;Alsace;;Riesling;Domaine Zinck;7.9;0.65;0.01;2.5;0.078;17.0;38.0;0.9963;3.34;0.74;11.7;7;334
237;237;France;As its name implies, this wine comes from chalk soil, giving both a strongly mineral character and ripe tropical fruit flavors. It's rich, full in the mouth, dry but with such a ripe character there seems to be some sweetness. It's impressively full and ready to drink now.;Calcaire;92;55.0;Alsace;Alsace;;Riesling;Domaine Zind-Humbrecht;11.9;0.695;0.53;3.4;0.128;7.0;21.0;0.9992;3.17;0.84;12.2;7;335
238;238;Portugal;Produced from old vines, this is an impressive wine, rich and dense. It brings together dark tannins and opulent black fruits that cushion the firm structure. A lively acidity and a silky character show that the wine is ready to drink.;Dona Maria Reserva;92;40.0;Alentejano;;;Portuguese Red;Dona Maria-Júlio Bastos;8.9;0.43;0.45;1.9;0.052;6.0;16.0;0.9948;3.35;0.7;12.5;6;336
239;239;Italy;This opens with a pretty fragrance of violet, exotic spice and perfumed berry. The juicy palate doles out ripe black cherry, crushed raspberry, freshly ground pepper, mocha and anisette. It's nicely balanced with fresh acidity and firm but polished tannins.;Coste Rubin;92;69.0;Piedmont;Barbaresco;;Nebbiolo;Fontanafredda;7.8;0.43;0.32;2.8;0.08;29.0;58.0;0.9974;3.31;0.64;10.3;5;337
240;240;France;Smoky and toasty, this is a structured wine. It has layers of black currant fruits, fresh acidity as well as firm tannins that overlay the juicy fruitiness. It needs to age. Drink from 2016.;;88;16.0;Bordeaux;Blaye Côtes de Bordeaux;;Bordeaux-style Red Blend;Château Chantemerle;12.5;0.28;0.54;2.3;0.0819999999999999;12.0;29.0;0.9997;3.11;1.36;9.8;7;339
241;241;France;While the wine is rich, it's also very crisp and fruity. Tight acidity and a chalky, steely texture are balanced by ripe apples and pink grapefruit. It's a wine for drinking this year, bright and fruity.;;88;16.0;Bordeaux;Bordeaux Blanc;;Bordeaux-style White Blend;Château Chaubinet;10.9;0.39;0.47;1.8;0.118;6.0;14.0;0.9982;3.3;0.75;9.8;6;342
242;242;France;A tight and herbaceous wine that is crisp, mineral and fresh. It shows a great potential for fruitiness, with natural juicy acidity as well as a bright, aromatic aftertaste. Drink from 2016.;;88;0;Bordeaux;Pessac-Léognan;;Bordeaux-style White Blend;Château Ferran;10.9;0.39;0.47;1.8;0.118;6.0;14.0;0.9982;3.3;0.75;9.8;6;343
243;243;France;Round and velvet smooth, it has blackberry fruits that are full in the mouth, giving freshness while also making the wine rich and generous. The tannins are already well-integrated into this soft wine. Drink from 2015.;;88;15.0;Bordeaux;Côtes de Bourg;;Bordeaux-style Red Blend;Château Fongalan;11.9;0.57;0.5;2.6;0.0819999999999999;6.0;32.0;10.006;3.12;0.78;10.7;6;344
244;244;France;Crisp and deliciously fruity, this is lively and bright. Acidity points up the lime and grapefruit flavors, leaving a fresh, juicy aftertaste. Drink now for maximum pleasure.;;88;13.0;Bordeaux;Bordeaux Blanc;;Bordeaux-style White Blend;Château Mezain;13.8;0.49;0.67;3.0;0.093;6.0;15.0;0.9986;3.02;0.93;12.0;6;347
245;245;US;Full-bodied and resplendent in ripe apple and brioche, this well-crafted wine is layered and smooth. It would pair well with grilled salmon or herb-roasted chicken.;;88;28.0;California;Carneros;Napa-Sonoma;Chardonnay;Clos du Val;9.6;0.56;0.31;2.8;0.089;15.0;46.0;0.9979;3.11;0.92;10.0;6;348
246;246;US;Toasty scents and flavors of the barrels (40% new) cloak tart raspberry fruit. It's clean and efficient, though for the moment at least, the barrel flavors outrun the rather light fruit. That can change over time, so give this one until 2015 or so in bottle.;Estate;88;36.0;Oregon;McMinnville;Willamette Valley;Pinot Noir;Coeur de Terre;9.1;0.795;0.0;2.6;0.096;11.0;26.0;0.9994;3.35;0.83;9.4;6;351
247;247;Romania;This playful pink has fun aromas of cinnamon, red berry and bubble gum that lead to flavors of sour cherry and red plum on the palate. The finish is big, fruity and generous.;La Umbra;88;9.0;Colinele Dobrogei;;;Rosé;Cramele Halewood;7.7;0.665;0.0;2.4;0.09;8.0;19.0;0.9974;3.27;0.73;9.3;5;352
248;248;US;Bright orange juice, dill herbs and a slight whiff of vanilla bean lead the aromas on this un-oaked Chard. On the palate, flavors of apple cider come with a wash of fresh lime juice on the back end.;Limited Selection;88;24.0;California;Central Coast;Central Coast;Chardonnay;Daniel Gehrs;13.5;0.53;0.79;4.8;0.12;23.0;77.0;10.018;3.18;0.77;13.0;5;353
249;249;US;This white combines 48% Roussanne with 35% Marsanne and 17% Viognier to creamy, tropical effect, its balance between ripe melon and pear fruitiness and spiced acidity well woven. From one of the few sources of some of these grapes in the Russian River Valley, this Rhône-inspired wine is ready to pair with lobster or a roast turkey dinner.;Cuvée Luke Saralee's Vineyard;88;30.0;California;Russian River Valley;Sonoma;Rhône-style White Blend;Davis Family;6.1;0.21;0.4;1.4;0.066;40.5;165.0;0.9912;3.25;0.59;11.9;6;354
250;250;US;Taking time to come around aromatically, it opens up with plum and bright red cherry fruit that follow on the palate, a touch of savory tobacco suggested around the tannins. On the finish expect a balance of spice and sweet as black pepper and caramel compete for affection.;;88;25.0;California;Sonoma County;Sonoma;Merlot;Decoy;6.7;0.75;0.01;2.4;0.078;17.0;32.0;0.9955;3.55;0.61;12.8;6;355
251;251;Italy;Made for early drinking, this bright wine delivers red berry fruit lightly accented with sage and baking spices. It's not an ager so enjoy now through 2020.;;88;34.0;Piedmont;Barolo;;Nebbiolo;Reversanti;11.5;0.41;0.52;3.0;0.08;29.0;55.0;10.001;3.26;0.88;11.0;5;356
252;252;US;Sourced from the estate vineyard—the same vineyard that fuels the Private Stash reserve—this shows a dusty, somewhat charred character, presumably from the barrel aging. Along with the slightly burnt toast character comes plenty of black cherry fruit, and acids that leave a slightly chalky impression in the finish.;Wits' End;88;60.0;Oregon;Chehalem Mountains;Willamette Valley;Pinot Noir;Roco;10.5;0.42;0.66;2.95;0.1159999999999999;12.0;29.0;0.997;3.24;0.75;11.7;7;357
253;253;US;The other realm of the coin from Brown Ranch, Toyon is leaner and lighter, its color even subdued, a study in wild strawberry and layered floral highlights, oak and cardamom spice. It bristles with acidity, pleasant to sip on its own or with bacon-wrapped figs.;Toyon Farm;88;54.0;California;Carneros;Napa-Sonoma;Pinot Noir;Saintsbury;11.9;0.43;0.66;3.1;0.109;10.0;23.0;1.0;3.15;0.85;10.4;7;358
254;254;US;This is a frizzante style of Muscat, the pressure slight enough to allow for a screwcap seal. Off-dry, spicy and aromatic, it's a great sipping wine, with concentrated flavors of sweet orange-pekoe tea.;Early;88;15.0;Oregon;Willamette Valley;Willamette Valley;Muscat;Silvan Ridge;12.6;0.38;0.66;2.6;0.088;10.0;41.0;1.001;3.17;0.68;9.8;6;359
255;255;Italy;This opens with aromas of black plum, oak, espresso, black pepper, balsamic notes and a whiff of barnyard. The bracing palate delivers crushed dark cherry alongside oak sensations of espresso, toast and vanilla. Aggressive wood tannins cut this short and give an astringent finish.;Bussia;88;56.0;Piedmont;Barolo;;Nebbiolo;Silvano Bolmida;8.2;0.7;0.23;2.0;0.099;14.0;81.0;0.9973;3.19;0.7;9.4;5;360
256;256;US;The winery's signature widely distributed white is heady in flowery jasmine, with vibrant acidity and a sense of sweetness on the palate thanks to fresh fruit flavors of grapefruit, peach and nectarine. An ideal wine for summer or whenever one needs to recall a summer's day.;Estate;88;20.0;California;Napa Valley;Napa;Sauvignon Blanc;St. Supéry;8.6;0.45;0.31;2.6;0.086;21.0;50.0;0.9982;3.37;0.91;9.9;6;361
257;257;US;Smells of rust, iron, tomato and untracked peppercorns rise to the nose. On the palate, the wine is quite light and racy, with a little boysenberry and more sanguine flavors. Hold onto this one until 2016 for maximum enjoyment, as more flavors will emerge.;Guidotti Vineyard;88;61.0;California;Santa Lucia Highlands;Central Coast;Pinot Noir;Testarossa;11.9;0.58;0.66;2.5;0.072;6.0;37.0;0.9992;3.05;0.56;10.0;5;362
258;258;Italy;Black plum, chocolate-covered cherry and mocha sensations come together alongside forceful tannins. It's rather ripe and forward for the vintage. Drink 2018–2025.;;88;46.0;Piedmont;Barolo;;Nebbiolo;Trediberri;12.5;0.46;0.63;2.0;0.071;6.0;15.0;0.9988;2.99;0.87;10.2;5;363
259;259;Spain;This is brilliantly purple in color, with jumpy, untamed black-fruit aromas. In the mouth, it is tannic and clawing, with a cheek-drilling mouthfeel. Syrupy blackberry flavors offer baking spice and clove accents, while the finish is showing unabsorbed oak and monster tannins.;Prestigio;88;30.0;Northern Spain;Cigales;;Tempranillo;Val de Los Frailes;12.8;0.615;0.66;5.8;0.083;7.0;42.0;10.022;3.07;0.73;10.0;7;364
260;260;Spain;Dusty black cherry and dark plum aromas are ripe and friendly. This is a plump, modern-style red with a clean mouthfeel and weight. Berry fruits, spice and oak flavors blend well, while the finish is, in general, full, smooth and adequately fresh. Tempranillo with 10% Petit Verdot.;Crianza;88;17.0;Central Spain;La Mancha;;Tempranillo Blend;Yuntero;12.8;0.615;0.66;5.8;0.083;7.0;42.0;10.022;3.07;0.73;10.0;7;366
261;261;France;This fresh and fruity sparkling wine is crisp with apple skin and apricot flavors. Ripe and full in the mouth , it has a lightly creamy mousse. The blend of Chenin Blanc and Chardonnay gives delicious fruitiness and tight final acidity.;Noctambule;88;0;Loire Valley;Crémant de Loire;;Chenin Blanc-Chardonnay;Musset-Roullier;10.4;0.575;0.61;2.6;0.076;11.0;24.0;1.0;3.16;0.69;9.0;5;367
262;262;US;Chalky earth, black pepper and clove comprise the nose on this wine, which gets a boost from 10% Merlot. The flavors are spicy and complex, with cedar, tea and a tiny bit of varietally distinct green pepper.;Querida;88;40.0;California;Paso Robles;Central Coast;Cabernet Sauvignon-Merlot;Oso Libre;9.4;0.27;0.53;2.4;0.074;6.0;18.0;0.9962;3.2;1.13;12.0;7;369
263;263;US;Oso Libre ventures into the nonvintage category with this blend of 10 wines from the past five years, delivering a nose with blackberry and a pinch of pepper. The meaty wine really gets your attention once sipped, with boysenberry, cracked peppercorn, some iron and a lingering licorice flavors.;Primoroso;88;39.0;California;Paso Robles;Central Coast;Red Blend;Oso Libre;7.9;0.24;0.4;1.6;0.0559999999999999;11.0;25.0;0.9967;3.32;0.87;8.7;6;371
264;264;Italy;Made from vineyards throughout the village of Serralunga d'Alba, this straightforward wine is still closed. It reveals black cherry, espresso, prune and subtle oak alongside a note of tire rubber. It's still extremely young, with aggressive tannins that dry out the finish.;del Comune di Serralunga d'Alba;88;49.0;Piedmont;Barolo;;Nebbiolo;Palladino;9.1;0.28;0.48;1.8;0.067;26.0;46.0;0.9967;3.32;1.04;10.6;6;372
265;265;France;A lemon-scented, crisp wine, it's also full of ripe yellow fruits. It's a warm in style, rich with both fruit and an open texture. Almonds and acidity give a refreshing aftertaste.;Domaine de Saint-Pierre;88;23.0;Loire Valley;Sancerre;;Sauvignon Blanc;Pierre Prieur et Fils;11.5;0.45;0.5;3.0;0.078;19.0;47.0;10.003;3.26;1.11;11.0;6;376
266;266;US;This is a great sunny day wine, starting with aromas of honeydew melon, ripe nectarine and lemongrass. There is a slightly peachy, bubblegum character once sipped, with lemon-lime soda in the midpalate and a flinty, gunmetal finish.;;88;16.0;California;Monterey County;Central Coast;Pinot Grigio;Bargetto;9.4;0.27;0.53;2.4;0.074;6.0;18.0;0.9962;3.2;1.13;12.0;7;377
267;267;US;A brighter, more mineral- and acid-driven take on the often rustic Rhône grape, this kicks off with fresh smells of raspberry and rock. The palate brings tart cherry, followed by just-ripe black berry and really ripe raspberry on the midpalate, and a tartness on the finish.;Anna's Estate Vineyard;88;32.0;California;Paso Robles;Central Coast;Mourvèdre;Adelaida;11.4;0.625;0.66;6.2;0.088;6.0;24.0;0.9988;3.11;0.99;13.3;6;378
268;268;US;There's a lot happening on nose of this wine from Sta. Rita Hills pioneer Richard Sanford's recently rejuvenated Alma Rosa label. Aromas suggest light butterscotch, baked pear, fresh pluot and jasmine. Once sipped, the flavors don't live up to the aromatic promise, but apple, pear and a sharper tangerine rind round out the flavors.;;88;18.0;California;Santa Barbara County;Central Coast;Chardonnay;Alma Rosa;8.3;0.26;0.42;2.0;0.08;11.0;27.0;0.9974;3.21;0.8;9.4;6;380
269;269;Argentina;Immediately this smells raisiny, but with time secondary scents of cinnamon and Middle Eastern spices come into play. The body is soft and extracted, with modest acidity. Flavors of baked black fruits, fig paste, chocolate and herbs follow the nose, as does a chocolaty, rich  finish. Drink through 2016.;Single Vineyard Reserva;88;15.0;Mendoza Province;Agrelo;;Cabernet Sauvignon;Lamadrid;7.7;0.51;0.28;2.1;0.087;23.0;54.0;0.998;3.42;0.74;9.2;5;384
270;270;France;Packed with tannin, it is not showing much sign of fruit yet. It is dark, brooding and very firm in texture, with just with a hint of juicy black cherry flavors. Wait until 2017 before drinking.;Pertuisots Premier Cru;92;92.0;Burgundy;Beaune;;Pinot Noir;Domaine de Bellene;7.8;0.46;0.26;1.9;0.088;23.0;53.0;0.9981;3.43;0.74;9.2;6;388
271;271;France;A very fruity wine, it shows rich wood flavors as well as equally rich fruit. It is complex, very mineral in character, tight and nervy. The citrus fruit is matched by the apricot flavor, putting down layers of acidity. Don't drink before 2017.;Clos du Cailleret Premier Cru;92;94.0;Burgundy;Chassagne-Montrachet;;Chardonnay;Domaine Vincent Girardin;5.6;0.85;0.05;1.4;0.045;12.0;88.0;0.9924;3.56;0.82;12.9;8;390
272;272;US;The southern Napa Coombsville area is near San Pablo Bay, making it a cool area. In this vintage, it shows the acidity and mineraity of its terroir, but also the ripeness Chardonnay can achieve in a good vineyard, with orange and apricot flavors enhanced with oak. Drink now.;Haynes Vineyard;92;58.0;California;Coombsville;Napa;Chardonnay;Failla;13.7;0.415;0.68;2.9;0.085;17.0;43.0;10.014;3.06;0.8;10.0;6;391
273;273;US;From the estimable Shake Ridge Ranch, winemaker Rosemary Cakebread has fashioned a lovely blend from 53% Grenache, 31% Syrah, 14% Mourvèdre and 2% Viognier. Opening with leathery tannins, the rich and savory concoction imparts juicy dark plum, tobacco and especially coffee.;Suzuri Series Shake Ridge Ranch;92;50.0;California;Amador County;Sierra Foothills;Rhône-style Red Blend;Gallica;9.5;0.37;0.52;2.0;0.0819999999999999;6.0;26.0;0.998;3.18;0.51;9.5;5;392
274;274;US;The vintage was a great one not only for J's dry table wines but for its sparklers. This brut, a classic Chardonnay and Pinot blend, with a drop of Pinot Meunier, is dry, with complex lemon, orange, yeast, vanilla, cream and toast flavors. The bubbles are ultra-fine, raising the appeal.;Vintage Brut;92;48.0;California;Russian River Valley;Sonoma;Sparkling Blend;J Vineyards & Winery;12.0;0.37;0.76;4.2;0.066;7.0;38.0;10.004;3.22;0.6;13.0;7;395
275;275;US;This is such a good Pinot, and so reflective of the Sonoma Coast, that its price makes it a steal. With low alcohol and brisk acidity, it's translucent in color, with a gleaming ruby hue. The mouthfeel is silky and delicate, yet the raspberry, cola and buttered cinnamon toast flavors are intense. Drink now–2020.;;92;32.0;California;Sonoma Coast;Sonoma;Pinot Noir;Les Voleurs;6.6;0.735;0.02;7.9;0.122;68.0;124.0;0.9994;3.47;0.53;9.9;5;396
276;276;Italy;This wine has more structure and depth than most Pinot Biancos from Alto Adige, thanks to vineyard location and 20% aging in large casks. It delivers sensations of apples and exotic fruit along with a flinty note. The creamy texture is brightened by lively acidity.;Sirmian;92;27.0;Northeastern Italy;Alto Adige;;Pinot Bianco;Nals Margreid;11.5;0.59;0.59;2.6;0.087;13.0;49.0;0.9988;3.18;0.65;11.0;6;397
277;277;Portugal;Pure Alvarinho from the Monção region, it's rich, creamy and textured. Lined with great acidity, it also has intense apple, bitter orange and a strongly herbal element. While it's ready to drink, this complex wine will benefit by waiting until 2015.;Portal do Fidalgo;92;35.0;Vinho Verde;;;Alvarinho;Provam;8.7;0.765;0.22;2.3;0.064;9.0;42.0;0.9963;3.1;0.55;9.4;5;399
278;278;Portugal;This wood-aged wine comes from a small parcel of old vines in the Quinta Nova vineyard. With its ripe, smooth and creamy texture, it has a full, almost Burgundian feel. Ripe peach combines with vanilla to make a wine that has concentration and richness, cut with final acidity.;Mirabilis Grande Reserva;92;95.0;Douro;;;Portuguese White;Quinta Nova de Nossa Senhora do Carmo;6.6;0.735;0.02;7.9;0.122;68.0;124.0;0.9994;3.47;0.53;9.9;5;400
279;279;US;A great follow-up to the winery's 2011, made this time from an esteemed vineyard in one of the coldest parts of the valley. The vintage was difficult, but the wine is rich in raspberry, cranberry and persimmon flavors, brightened by crisp acidity and finishing totally dry. There's no reason not to drink it now.;Solomon Hills Vineyard;92;43.0;California;Santa Maria Valley;Central Coast;Pinot Noir;Ryan Cochrane;12.2;0.48;0.54;2.6;0.085;19.0;64.0;1.0;3.1;0.61;10.5;6;402
280;280;Italy;Here's a delicious Soave with depth and character. Floral aromas of Spanish Broom and chamomile take center stage, accented by a smidge of exotic fruit and graphite. The juicy palate offers honeydew melon, white peach, ripe pear, citrus and mineral purity balanced by fresh acidity.;Monte Carbonare;92;33.0;Veneto;Soave Classico;;Garganega;Suavia;11.4;0.6;0.49;2.7;0.085;10.0;41.0;0.9994;3.15;0.63;10.5;6;403
281;281;Italy;Classic varietal aromas include stone fruit, crushed tomato vine, freshly cut grass and green melon. The palate offers a depth of flavors that include creamy white peach and ripe cantaloupe that are brightened by firm acidity. It closes on a flinty mineral note.;Quarz;92;60.0;Northeastern Italy;Alto Adige;;Sauvignon;Cantina Terlano;7.7;0.69;0.05;2.7;0.075;15.0;27.0;0.9974;3.26;0.61;9.1;5;404
282;282;France;The estate wine from Château du Cèdre is anything but simple. A powerful series of tannins and dense black fruits offer both a dark texture and great fruitiness. Acidity comes through strongly and, with the tannins, promises aging. Drink from 2017.;;92;0;Southwest France;Cahors;;Malbec;Château du Cèdre;9.8;0.44;0.47;2.5;0.063;9.0;28.0;0.9981;3.24;0.65;10.8;6;406
283;283;France;The minty aromas indicate new wood aging as well as a ripe, polished texture. They make for a wine that has presence and structure as well as rich fruitiness, blackberry flavors and a dry, solid core. It's a sophisticated wine that can age. Drink from 2017.;Réserve;92;30.0;Bordeaux;Graves;;Bordeaux-style Red Blend;Château Haut Selve;12.0;0.39;0.66;3.0;0.093;12.0;30.0;0.9996;3.18;0.63;10.8;7;407
284;284;US;Made from 100% Cabernet, this wine shows the intensity of fruit that Mount Veeder is capable of expressing. It also has excellent acidity. But the tannins are astringently strong, giving a numbing sting to the palate. This certainly needs time. Give it until 2022 and beyond.;Lampyridae Vineyards;92;100.0;California;Mount Veeder;Napa;Cabernet Sauvignon;Communication Block;12.5;0.46;0.49;4.5;0.07;26.0;49.0;0.9981;3.05;0.57;9.6;4;409
